Date,Open,High,Low,Close,Adj Close,Volume
2018-01-05,28.480000,28.480000,28.230000,28.410000,25.635395,37989500
2018-01-08,28.379999,28.430000,28.270000,28.370001,25.599300,44252100
2018-01-09,28.490000,28.740000,28.440001,28.590000,25.797815,51418700
2018-01-10,28.680000,28.950001,28.629999,28.830000,26.014380,64670900
2018-01-11,28.950001,29.000000,28.809999,28.969999,26.140703,42361700
2018-01-12,29.139999,29.250000,28.959999,29.230000,26.375311,44537500
2018-01-16,29.480000,29.530001,28.990000,29.150000,26.303129,67563800
2018-01-17,29.230000,29.450001,28.990000,29.370001,26.501637,54312000
2018-01-18,29.469999,29.480000,29.290001,29.330000,26.465548,49247400
2018-01-19,29.430000,29.549999,29.370001,29.540001,26.655035,60727800
2018-01-22,29.549999,29.790001,29.510000,29.780001,26.871601,46868900
2018-01-23,29.709999,29.860001,29.570000,29.809999,26.898666,60862000
2018-01-24,29.950001,30.080000,29.770000,30.010000,27.079136,66371000
2018-01-25,30.129999,30.129999,29.850000,29.950001,27.024998,45423700
2018-01-26,30.040001,30.180000,29.900000,30.170000,27.223509,33871900
2018-01-29,30.190001,30.330000,30.030001,30.049999,27.115227,41037700
2018-01-30,29.830000,30.020000,29.660000,29.660000,26.763319,67316900
2018-01-31,29.740000,29.889999,29.639999,29.740000,26.835503,49504500
2018-02-01,29.680000,30.049999,29.670000,30.020000,27.088160,60824200
2018-02-02,29.959999,30.040001,29.340000,29.360001,26.492619,73086000
2018-02-05,28.730000,29.209999,27.600000,27.879999,25.157160,147871500
2018-02-06,27.240000,28.459999,27.170000,28.389999,25.617352,159006400
2018-02-07,28.340000,28.809999,28.219999,28.410000,25.635395,102699400
2018-02-08,28.459999,28.510000,27.139999,27.160000,24.507477,135270500
2018-02-09,27.570000,27.889999,26.760000,27.680000,24.976686,149504900
2018-02-12,27.959999,28.350000,27.709999,28.070000,25.328598,83571800
2018-02-13,27.910000,28.250000,27.830000,28.190001,25.436882,43365500
2018-02-14,28.170000,28.870001,28.070000,28.860001,26.041447,57379700
2018-02-15,29.100000,29.139999,28.700001,29.020000,26.185820,66976000
2018-02-16,28.879999,29.230000,28.840000,28.980000,26.149729,47508200
2018-02-20,28.920000,29.209999,28.799999,28.889999,26.068518,58236100
2018-02-21,28.900000,29.400000,28.870001,28.930000,26.104610,44578800
2018-02-22,29.000000,29.160000,28.620001,28.690001,25.888052,47602700
2018-02-23,28.780001,29.120001,28.770000,29.120001,26.276056,41187300
2018-02-26,29.330000,29.559999,29.139999,29.559999,26.673082,55124200
2018-02-27,29.580000,29.770000,29.260000,29.280001,26.420433,72752100
2018-02-28,29.430000,29.540001,28.870001,28.870001,26.050472,65254700
2018-03-01,28.879999,29.110001,28.209999,28.370001,25.599300,82467900
2018-03-02,28.170000,28.520000,27.889999,28.440001,25.662468,78991200
2018-03-05,28.219999,29.000000,28.209999,28.840000,26.023399,58952100
2018-03-06,29.000000,29.020000,28.660000,28.959999,26.131680,49746100
2018-03-07,28.600000,28.969999,28.570000,28.910000,26.086567,41530200
2018-03-08,28.980000,29.040001,28.690001,29.000000,26.167772,50803000
2018-03-09,29.309999,29.719999,29.190001,29.700001,26.799416,54595700
2018-03-12,29.700001,29.809999,29.549999,29.600000,26.709175,51784500
2018-03-13,29.740000,29.770000,29.200001,29.270000,26.411409,47049400
2018-03-14,29.400000,29.400000,28.850000,28.940001,26.113636,57278900
2018-03-15,29.049999,29.110001,28.860001,28.950001,26.122656,47451600
2018-03-16,28.910000,29.150000,28.870001,28.870001,26.145300,61278200
2018-03-19,28.830000,28.930000,28.389999,28.660000,25.955122,52145000
2018-03-20,28.770000,28.850000,28.660000,28.730000,26.018509,37146500
2018-03-21,28.780001,29.100000,28.620001,28.719999,26.009459,53291400
2018-03-22,28.340000,28.450001,27.559999,27.660000,25.049496,85160300
2018-03-23,27.690001,27.730000,26.770000,26.820000,24.288776,89289500
2018-03-26,27.360001,27.770000,27.100000,27.690001,25.076662,84145000
2018-03-27,27.780001,27.900000,26.930000,27.150000,24.587627,78827400
