Date,Open,High,Low,Close,Adj Close,Volume
2018-01-05,56.770000,56.970001,56.639999,56.930000,49.747078,15555100
2018-01-08,56.849998,57.119999,56.820000,57.070000,49.869411,12891000
2018-01-09,57.139999,57.270000,56.980000,56.990002,49.799503,8357600
2018-01-10,56.849998,56.860001,56.330002,56.709999,49.554829,9663500
2018-01-11,56.820000,56.820000,56.529999,56.630001,49.484928,11500800
2018-01-12,56.720001,56.919998,56.529999,56.650002,49.502407,7308900
2018-01-16,56.759998,57.110001,56.730000,56.910000,49.729607,13806700
2018-01-17,57.099998,57.770000,57.049999,57.560001,50.297588,12549700
2018-01-18,57.549999,57.650002,57.290001,57.389999,50.149036,12423300
2018-01-19,57.599998,58.090000,57.540001,58.029999,50.708294,9962800
2018-01-22,58.000000,58.470001,57.970001,58.470001,51.092781,7871600
2018-01-23,58.200001,58.439999,58.009998,58.279999,50.926746,10908900
2018-01-24,58.430000,58.470001,58.119999,58.400002,51.031609,16603500
2018-01-25,58.500000,58.740002,58.130001,58.430000,51.057823,12144600
2018-01-26,58.320000,58.730000,58.240002,58.709999,51.302498,6342700
2018-01-29,58.810001,58.950001,58.439999,58.480000,51.101517,10760800
2018-01-30,58.080002,58.580002,57.939999,58.090000,50.760719,10898100
2018-01-31,58.139999,58.290001,57.590000,57.820000,50.524792,13757000
2018-02-01,57.599998,57.900002,57.430000,57.570000,50.306343,14094500
2018-02-02,57.290001,57.439999,56.430000,56.470001,49.345119,15569100
2018-02-05,56.230000,56.570000,54.389999,54.419998,47.553761,39487500
2018-02-06,53.529999,55.130001,53.240002,55.020000,48.078072,38881700
2018-02-07,54.900002,55.799999,54.720001,54.779999,47.868347,17526900
2018-02-08,54.910000,55.020000,53.580002,53.599998,46.837238,32928400
2018-02-09,54.009998,54.099998,52.660000,53.709999,46.933350,34912000
2018-02-12,54.020000,54.520000,53.889999,54.259998,47.413960,21013600
2018-02-13,54.060001,54.650002,54.049999,54.509998,47.632420,11994500
2018-02-14,54.220001,54.660000,53.939999,54.480000,47.606201,20370500
2018-02-15,54.680000,55.380001,54.450001,55.380001,48.392647,14788900
2018-02-16,55.400002,55.840000,55.099998,55.599998,48.584885,11591600
2018-02-20,55.000000,55.000000,54.279999,54.340000,47.483868,16069800
2018-02-21,54.419998,54.580002,53.669998,53.689999,46.915874,15207400
2018-02-22,53.799999,54.230000,53.730000,53.830002,47.038212,10239200
2018-02-23,53.939999,54.360001,53.750000,54.349998,47.492596,10321100
2018-02-26,54.439999,54.730000,54.290001,54.689999,47.789703,10100400
2018-02-27,54.720001,54.849998,53.959999,53.970001,47.160549,9832600
2018-02-28,54.290001,54.320000,53.410000,53.410000,46.671196,13726400
2018-03-01,53.279999,53.790001,52.820000,53.290001,46.566345,27808600
2018-03-02,53.090000,53.830002,52.970001,53.740002,46.959579,25965400
2018-03-05,53.450001,54.270000,53.450001,54.209999,47.370270,18859700
2018-03-06,54.230000,54.299999,53.820000,54.250000,47.405220,20784300
2018-03-07,53.740002,53.970001,53.470001,53.759998,46.977043,12592900
2018-03-08,53.790001,54.270000,53.700001,54.250000,47.405220,10725100
2018-03-09,54.400002,54.610001,54.200001,54.599998,47.711056,11486800
2018-03-12,54.619999,54.910000,54.400002,54.500000,47.623669,10915700
2018-03-13,54.669998,54.770000,54.369999,54.459999,47.588718,12406100
2018-03-14,54.590000,54.599998,53.799999,53.910000,47.108116,13519000
2018-03-15,53.840000,54.080002,53.380001,53.529999,46.776058,9280100
2018-03-16,53.230000,53.560001,53.200001,53.250000,46.792763,9629100
2018-03-19,53.209999,53.310001,52.540001,52.730000,46.335819,10714700
2018-03-20,52.810001,53.020000,52.410000,52.580002,46.204006,9888200
