Date,Open,High,Low,Close,Volume,Market Cap
Jan-16-2022,93.20041384209074,94.8743,91.9385612800588,92.2784537488143,717146432.2222222,22751126608.58755
Jan-15-2022,90.37017176354726,94.21013033195048,89.82762189462044,93.32491465969254,746754958.2222222,22370540373.59639
Jan-14-2022,89.4919,91.5604741950745,87.44484117547421,90.2607127524298,1024667165.5555556,21967410508.0973
Jan-13-2022,95.9807,96.9965742844321,89.6637,89.6769,1163555988.4444444,22873819883.934612
Jan-12-2022,89.5357,96.52228330759722,88.942,95.8575,1156957023.7777777,22711012155.817318
Jan-11-2022,84.4751,90.78004372446448,83.2693605116518,89.3784,1410975282.3972125,21232207650.21864
Jan-10-2022,89.29924792924506,90.87229487650936,80.87939726487488,84.3549,1537747898.6666667,21102084277.938015
Jan-09-2022,83.89100894369628,91.64294483108912,82.86113105500351,89.2842045257582,1412463178.2222223,21090530720.543617
Jan-08-2022,86.7566,89.44263883796273,79.4495,84.16198831097002,1298065250.2222223,20905367868.30817
Jan-07-2022,95.19650014423524,95.19650014423524,85.47384382763003,86.3924,1450737124,21797088775.47076
Jan-06-2022,97.3561,97.67662585684376,91.1604637137022,95.20307242612182,1763015476.4444444,23059352252.52041
Jan-05-2022,103.28634102780164,106.4451,90.8247,97.9581,1240076641.3333333,25231879808.862236
Jan-04-2022,108.1009,109.0668,103.15478012426786,103.15478012426786,1300005804,25918154010.46516
Jan-03-2022,113.1229,113.64438997456998,106.3878388873155,108.1995,1090686993.5555556,27043262220.981426
Jan-02-2022,114.3938,117.3199,112.1962,113.1136,1210395313.7777777,28015129728.63456
Jan-01-2022,109.3674020884166,114.03686800568654,108.70247975306216,113.7472,1658124371.5555556,26990581357.5084
Dec-31-2021,101.7964,110.90105516364004,100.43488809049566,109.41456148257936,1390811093.7777777,25661750004.7109
Dec-30-2021,103.0761446104099,105.28269477476178,98.58096863594965,101.8438,1584184476,24947651535.406612
Dec-29-2021,107.0365,110.50542317435152,102.844961592955,103.10898366863069,1846106472,26035807701.533157
Dec-28-2021,113.7270599315805,116.5479,104.82606132792026,107.2779,1858546425.7777777,27133068691.016464
Dec-27-2021,115.23377431846156,120.7598,113.57780910521592,113.57780910521592,1367059624,28407958494.731377
Dec-26-2021,115.09267924998986,117.898635269286,110.0274,115.50238925325796,1268753290.6666667,27645961293.652134
Dec-25-2021,114.7461,116.74693657269036,112.4148,115.51278135090747,1574676132.8888888,27998266472.59643
Dec-24-2021,121.3767270858264,124.40344467252076,114.0614,114.766,1613339349.7777777,29390879961.31313
Dec-23-2021,116.4896,124.8328509684855,116.47670986945852,121.5776885537332,1976888125.3333333,29350822268.52849
Dec-22-2021,123.2756,126.90974666403125,116.498675487844,116.51180654518274,2465178005.3333335,29816143121.048855
Dec-21-2021,113.42201907204571,123.7418349589426,110.80795857232442,123.3407,3276550806.2222223,28553458900.587887
Dec-20-2021,107.72936400802006,115.86066453729602,101.39635213769024,113.62984894456253,2043837264.8888888,25971293116.12922
Dec-19-2021,116.21822246905974,116.51716994012756,107.0072,107.874,1887906205.090909,27164055350.216053
Dec-18-2021,110.99126192860342,117.2234,105.9011,115.86937194608004,3809676492.619718,27437120958.78428
